Species,Mean_Ratio,Lower_95,Upper_95
Collared.flycatchers,0.912573932,0.801490728,0.994402307
Great.tits.N,0.856590932,0.694204952,0.990845895
Hihi.K,0.793885209,0.479943686,0.993071345
Great.tits.U,0.745684823,0.691223874,0.797226289
Song.sparrows,0.743645245,0.512211429,0.973689084
Rhesus.macaques,0.715668692,0.513043453,0.956173074
Blue.tits.R,0.703297465,0.526821078,0.937913406
Hihi.T,0.65395163,0.386178447,0.952880564
Soay.sheep,0.553494837,0.405610798,0.751027579
Bighorn.sheep,0.46759883,0.29000491,0.741720209
Red.deer,0.410923142,0.320696524,0.519803741
Blue.tits.P,0.372111774,0.267844844,0.525798567
Blue.tits.M,0.347753465,0.260028266,0.469546199
