Species,Model,pd,p_map,ROPE_95_Null,ROPE_95_Absolute
Bighorn sheep,Strict Mating,1,0,0,0
Bighorn sheep,EPP-Adjusted,1,0,0,0
Blue tits (Muro),Strict Mating,1,0,0,0.475526316
Blue tits (Muro),EPP-Adjusted,1,0,0,0.293684211
Blue tits (Pirio),Strict Mating,1,0,0,0.339121284
Blue tits (Pirio),EPP-Adjusted,1,0,0,0.143120232
Blue tits (Rouviere),Strict Mating,1,0,0,0
Blue tits (Rouviere),EPP-Adjusted,1,0,0,0
Collared flycatchers,Strict Mating,1,0,0.021842105,0
Collared flycatchers,EPP-Adjusted,1,0,0.027105263,0
Great tits (NL),Strict Mating,1,0,0.003683241,0
Great tits (NL),EPP-Adjusted,1,0,0.004735596,0
Great tits (UK),Strict Mating,1,0,0,0
Great tits (UK),EPP-Adjusted,1,0,0,0
Hihi (Karori),Strict Mating,1,0,0.008681926,0
Hihi (Karori),EPP-Adjusted,1,0,0.014469876,0
Hihi (Tiritiri),Strict Mating,1,0,0,0
Hihi (Tiritiri),EPP-Adjusted,1,0,0,0
Meerkats,Strict Mating,1,0,0,0
Meerkats,EPP-Adjusted,1,0,0,0
Red deer,Strict Mating,1,0,0,0
Red deer,EPP-Adjusted,1,0,0,0
Red squirrels,Strict Mating,1,0,0.017096265,0
Red squirrels,EPP-Adjusted,1,0,0.017096265,0
Rhesus macaques,Strict Mating,1,0,0,0
Rhesus macaques,EPP-Adjusted,1,0,0,0
Snow voles,Strict Mating,1,0,0.195737964,0
Snow voles,EPP-Adjusted,1,0,0.195737964,0
Soay sheep,Strict Mating,1,0,0,0
Soay sheep,EPP-Adjusted,1,0,0,0
Song sparrows,Strict Mating,1,0,0,0
Song sparrows,EPP-Adjusted,1,0,0,0
Spotted hyenas,Strict Mating,1,0,0,0
Spotted hyenas,EPP-Adjusted,1,0,0,0
Superb fairy wrens,Strict Mating,1,0,0.000263158,0
Superb fairy wrens,EPP-Adjusted,1,0,0.017105263,0
Yellow baboons,Strict Mating,1,0,0,0
Yellow baboons,EPP-Adjusted,1,0,0,0
