"Species","Mean_Ratio_Strict","Lower_95_Strict","Upper_95_Strict","Mean_Ratio_EPP","Lower_95_EPP","Upper_95_EPP"
"Bighorn sheep",0.322441768053618,0.0864475714378876,0.705945427088543,0.322441768053618,0.0864475714378876,0.705945427088543
"Blue tits (Muro)",0.0295501001918895,0.00337464724450735,0.104409796602433,0.0394513092358729,0.00563232222165513,0.127954197452719
"Blue tits (Pirio)",0.0439522686014291,0.00422384474478619,0.164682150856477,0.0622554754964968,0.0083655490825112,0.206331584932228
"Blue tits (Rouviere)",0.440977600566583,0.165902449453724,0.87599664283908,0.467947307869527,0.191542245439267,0.885324018123837
"Collared flycatchers",0.826248273388703,0.609357509403508,0.988804732058976,0.840813782911154,0.638718229565719,0.98986287256273
"Great tits (NL)",0.718438768537349,0.414371002831591,0.981692305118606,0.723603813436342,0.423039291905195,0.982118665981117
"Great tits (UK)",0.506150624209923,0.409254290251295,0.601277930079201,0.514260898170635,0.417937556925731,0.608508984180258
"Hihi (Karori)",0.611145570479984,0.11450285033905,0.986142913139163,0.672088579473417,0.188490101929555,0.989312942371126
"Hihi (Tiritiri)",0.375249509195761,0.0416292211328243,0.905834254009263,0.453165352804475,0.0864841814890436,0.926675171676569
"Meerkats",0.520229462143665,0.0779056537341973,0.968406057264951,0.555916089764173,0.107182246009319,0.972300053996072
"Red deer",0.240356448737412,0.120246343005543,0.397006348633499,0.240356448737412,0.120246343005543,0.397006348633499
"Red squirrels",0.732353126197697,0.34319187847249,0.9870420249491,0.732353126197697,0.34319187847249,0.9870420249491
"Rhesus macaques",0.665198934427248,0.387068871229985,0.955198822578481,0.665198934427248,0.387068871229985,0.955198822578481
"Snow voles",0.924389953271146,0.748105052116166,0.997723868999318,0.924389953271146,0.748105052116166,0.997723868999318
"Soay sheep",0.444358311688812,0.230981513585846,0.717839676460676,0.444358311688812,0.230981513585846,0.717839676460676
"Song sparrows",0.515381485953123,0.14887659099754,0.947390636215777,0.559011796618142,0.19437066247931,0.954585900823419
"Spotted hyenas",0.181046785342561,0.0320081479804953,0.49506598060662,0.181046785342561,0.0320081479804953,0.49506598060662
"Superb fairy wrens",0.638553544830218,0.231223611300052,0.980036670130687,0.746481760036869,0.403366586667143,0.987575351790389
"Yellow baboons",0.373846775504019,0.0927038683728565,0.780161872970124,0.373846775504019,0.0927038683728565,0.780161872970124
