"Species","Model","Mean_Ratio","Lower_95","Upper_95","pd","p_map","ROPE_95_Null"
"Bighorn sheep","Random Mating (κ=1)",0.467598830477383,0.290004909870515,0.741720208653206,1,0,0
"Bighorn sheep","Model B",0.313170299805746,0.169594005829745,0.589471688742287,1,0,0
"Bighorn sheep","Model A",0.467598830477383,0.290004909870515,0.741720208653206,1,0,0
"Blue tits (Muro)","Random Mating (κ=1)",0.347753464957745,0.260028266399036,0.469546199418172,1,0,0
"Blue tits (Muro)","Model B",0.239376535936635,0.170898978390314,0.341770549767265,1,0,0
"Blue tits (Muro)","Model A",0.242850025526921,0.173634979107441,0.346100178995761,1,0,0
"Blue tits (Pirio)","Random Mating (κ=1)",0.372111774079682,0.267844844258287,0.525798566772603,1,0,0
"Blue tits (Pirio)","Model B",0.268955500317078,0.183757821525095,0.405591131776995,1,0,0
"Blue tits (Pirio)","Model A",0.27660353613196,0.189713679485848,0.415080655730614,1,0,0
"Blue tits (Rouviere)","Random Mating (κ=1)",0.70329746503712,0.52682107781368,0.937913405657358,1,0,0
"Blue tits (Rouviere)","Model B",0.585895927963977,0.391400896837271,0.897183330112888,1,0,0
"Blue tits (Rouviere)","Model A",0.589265217302447,0.394955343683184,0.898549479688753,1,0,0
"Collared flycatchers","Random Mating (κ=1)",0.912573931858814,0.801490727592163,0.994402307234501,1,0,0.0776315789473684
"Collared flycatchers","Model B",0.863038523231857,0.704664152927111,0.990564145678615,1,0,0.0292105263157895
"Collared flycatchers","Model A",0.865445438395079,0.709132004724799,0.990763583153794,1,0,0.0321052631578947
"Great tits (NL)","Random Mating (κ=1)",0.856590932464711,0.694204952329777,0.990845894507464,1,0,0.0413049197579584
"Great tits (NL)","Model B",0.766202951770112,0.543025843136215,0.982656375088013,1,0,0.0065772165219679
"Great tits (NL)","Model A",0.766391848060031,0.543312927139112,0.982676081954084,1,0,0.0065772165219679
"Great tits (UK)","Random Mating (κ=1)",0.745684822740232,0.691223874109594,0.797226288525232,1,0,0
"Great tits (UK)","Model B",0.606154465650836,0.539548509739759,0.672986950675663,1,0,0
"Great tits (UK)","Model A",0.606429330918828,0.539835927090301,0.673241518369141,1,0,0
"Hihi (Karori)","Random Mating (κ=1)",0.793885208719693,0.479943685806836,0.993071344922898,1,0,0.042620363062352
"Hihi (Karori)","Model B",0.730496691832232,0.38039676680065,0.989621032203273,1,0,0.0163114969744804
"Hihi (Karori)","Model A",0.755237587126547,0.416744969179863,0.991068993396615,1,0,0.0242041568008419
"Hihi (Tiritiri)","Random Mating (κ=1)",0.653951630142967,0.386178447088307,0.952880564169041,1,0,0
"Hihi (Tiritiri)","Model B",0.567397286955576,0.295046085767369,0.930810588176872,1,0,0
"Hihi (Tiritiri)","Model A",0.600249134732756,0.32755012985816,0.939965417836424,1,0,0
"Meerkats","Random Mating (κ=1)",0.741593067036945,0.439342529458888,0.984201693288301,1,0,0.00710526315789474
"Meerkats","Model B",0.6533273765042,0.325339882410253,0.974578761522287,1,0,0
"Meerkats","Model A",0.660876738740772,0.33400684775435,0.975532578489837,1,0,0
"Red deer","Random Mating (κ=1)",0.410923141955819,0.32069652390462,0.51980374103376,1,0,0
"Red deer","Model B",0.259925054245306,0.19096996371989,0.351172175909151,1,0,0
