Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_002901205.1	Primary Assembly	1			PDCF01000003.1	Chromosome		NW_019776190.1	unlocalized-scaffold	47299075		69	chr1_part1
GCF_002901205.1	Primary Assembly	1			PDCF01000006.1	Chromosome		NW_019776212.1	unlocalized-scaffold	29622283		69	chr1_part3
GCF_002901205.1	Primary Assembly	1			PDCF01000007.1	Chromosome		NW_019776201.1	unlocalized-scaffold	37301315		69	chr1_part2
GCF_002901205.1	Primary Assembly	1			PDCF01000014.1	Chromosome		NW_019776223.1	unlocalized-scaffold	21357969		69	chr1_part4
GCF_002901205.1	Primary Assembly	1			PDCF01000036.1	Chromosome		NW_019776258.1	unlocalized-scaffold	5570291		69	chr1_part9
GCF_002901205.1	Primary Assembly	1			PDCF01000038.1	Chromosome		NW_019776234.1	unlocalized-scaffold	12991517		69	chr1_part5
GCF_002901205.1	Primary Assembly	1			PDCF01000046.1	Chromosome		NW_019776245.1	unlocalized-scaffold	9488580		69	chr1_part6
GCF_002901205.1	Primary Assembly	1			PDCF01000047.1	Chromosome		NW_019776256.1	unlocalized-scaffold	8621448		69	chr1_part7
GCF_002901205.1	Primary Assembly	1			PDCF01000057.1	Chromosome		NW_019776257.1	unlocalized-scaffold	5444540		69	chr1_part8
GCF_002901205.1	Primary Assembly	1			PDCF01000063.1	Chromosome		NW_019776192.1	unlocalized-scaffold	4714530		69	chr1_part11
GCF_002901205.1	Primary Assembly	1			PDCF01000069.1	Chromosome		NW_019776191.1	unlocalized-scaffold	5202912		69	chr1_part10
GCF_002901205.1	Primary Assembly	1			PDCF01000070.1	Chromosome		NW_019776193.1	unlocalized-scaffold	3757180		69	chr1_part12
GCF_002901205.1	Primary Assembly	1			PDCF01000074.1	Chromosome		NW_019776195.1	unlocalized-scaffold	1576767		69	chr1_part14
GCF_002901205.1	Primary Assembly	1			PDCF01000076.1	Chromosome		NW_019776214.1	unlocalized-scaffold	37270		69	chr1_part31
GCF_002901205.1	Primary Assembly	1			PDCF01000078.1	Chromosome		NW_019776194.1	unlocalized-scaffold	2505619		69	chr1_part13
GCF_002901205.1	Primary Assembly	1			PDCF01000096.1	Chromosome		NW_019776196.1	unlocalized-scaffold	1242203		69	chr1_part15
GCF_002901205.1	Primary Assembly	1			PDCF01000102.1	Chromosome		NW_019776197.1	unlocalized-scaffold	989197		69	chr1_part16
GCF_002901205.1	Primary Assembly	1			PDCF01000114.1	Chromosome		NW_019776198.1	unlocalized-scaffold	676183		69	chr1_part17
GCF_002901205.1	Primary Assembly	1			PDCF01000127.1	Chromosome		NW_019776200.1	unlocalized-scaffold	266458		69	chr1_part19
GCF_002901205.1	Primary Assembly	1			PDCF01000131.1	Chromosome		NW_019776202.1	unlocalized-scaffold	241097		69	chr1_part20
GCF_002901205.1	Primary Assembly	1			PDCF01000136.1	Chromosome		NW_019776203.1	unlocalized-scaffold	225282		69	chr1_part21
GCF_002901205.1	Primary Assembly	1			PDCF01000141.1	Chromosome		NW_019776204.1	unlocalized-scaffold	197168		69	chr1_part22
GCF_002901205.1	Primary Assembly	1			PDCF01000145.1	Chromosome		NW_019776205.1	unlocalized-scaffold	186632		69	chr1_part23
GCF_002901205.1	Primary Assembly	1			PDCF01000170.1	Chromosome		NW_019776206.1	unlocalized-scaffold	129618		69	chr1_part24
GCF_002901205.1	Primary Assembly	1			PDCF01000171.1	Chromosome		NW_019776207.1	unlocalized-scaffold	126764		69	chr1_part25
GCF_002901205.1	Primary Assembly	1			PDCF01000172.1	Chromosome		NW_019776208.1	unlocalized-scaffold	123238		69	chr1_part26
GCF_002901205.1	Primary Assembly	1			PDCF01000214.1	Chromosome		NW_019776209.1	unlocalized-scaffold	85413		69	chr1_part27
GCF_002901205.1	Primary Assembly	1			PDCF01000223.1	Chromosome		NW_019776210.1	unlocalized-scaffold	79467		69	chr1_part28
GCF_002901205.1	Primary Assembly	1			PDCF01000233.1	Chromosome		NW_019776211.1	unlocalized-scaffold	73346		69	chr1_part29
GCF_002901205.1	Primary Assembly	1			PDCF01000311.1	Chromosome		NW_019776213.1	unlocalized-scaffold	47538		69	chr1_part30
GCF_002901205.1	Primary Assembly	1			PDCF01000636.1	Chromosome		NW_019776215.1	unlocalized-scaffold	23654		69	chr1_part32
GCF_002901205.1	Primary Assembly	1			PDCF01004207.1	Chromosome		NW_019776216.1	unlocalized-scaffold	4414		69	chr1_part33
GCF_002901205.1	Primary Assembly	1			PDCF01004866.1	Chromosome		NW_019776217.1	unlocalized-scaffold	3896		69	chr1_part34
GCF_002901205.1	Primary Assembly	1			PDCF01005224.1	Chromosome		NW_019776218.1	unlocalized-scaffold	3648		69	chr1_part35
GCF_002901205.1	Primary Assembly	1			PDCF01005254.1	Chromosome		NW_019776219.1	unlocalized-scaffold	3625		69	chr1_part36
GCF_002901205.1	Primary Assembly	1			PDCF01006132.1	Chromosome		NW_019776220.1	unlocalized-scaffold	3170		69	chr1_part37
GCF_002901205.1	Primary Assembly	1			PDCF01006276.1	Chromosome		NW_019776221.1	unlocalized-scaffold	3116		69	chr1_part38
GCF_002901205.1	Primary Assembly	1			PDCF01006853.1	Chromosome		NW_019776222.1	unlocalized-scaffold	2916		69	chr1_part39
GCF_002901205.1	Primary Assembly	1			PDCF01007280.1	Chromosome		NW_019776224.1	unlocalized-scaffold	2792		69	chr1_part40
GCF_002901205.1	Primary Assembly	1			PDCF01007326.1	Chromosome		NW_019776225.1	unlocalized-scaffold	2779		69	chr1_part41
GCF_002901205.1	Primary Assembly	1			PDCF01007453.1	Chromosome		NW_019776226.1	unlocalized-scaffold	2744		69	chr1_part42
GCF_002901205.1	Primary Assembly	1			PDCF01007758.1	Chromosome		NW_019776227.1	unlocalized-scaffold	2682		69	chr1_part43
GCF_002901205.1	Primary Assembly	1			PDCF01008304.1	Chromosome		NW_019776228.1	unlocalized-scaffold	2575		69	chr1_part44
