Code,Species_code,Species,Linkage_Group,Total_cM,NCBI_Chromosome
bsR,ovis_canadensis,Ovis canadensis,1,302.8,1
bsR,ovis_canadensis,Ovis canadensis,2,274.3,2
bsR,ovis_canadensis,Ovis canadensis,3,272.7,3
bsR,ovis_canadensis,Ovis canadensis,4,142.7,4
bsR,ovis_canadensis,Ovis canadensis,5,132.8,5
bsR,ovis_canadensis,Ovis canadensis,6,138.9,6
bsR,ovis_canadensis,Ovis canadensis,7,125.3,7
bsR,ovis_canadensis,Ovis canadensis,8,127.9,8
bsR,ovis_canadensis,Ovis canadensis,9,115.5,9
bsR,ovis_canadensis,Ovis canadensis,10,64.2,10
bsR,ovis_canadensis,Ovis canadensis,11,108.2,11
bsR,ovis_canadensis,Ovis canadensis,12,102.9,12
bsR,ovis_canadensis,Ovis canadensis,13,120.6,13
bsR,ovis_canadensis,Ovis canadensis,14,82.5,14
bsR,ovis_canadensis,Ovis canadensis,15,112.8,15
bsR,ovis_canadensis,Ovis canadensis,16,67.6,16
bsR,ovis_canadensis,Ovis canadensis,17,97.3,17
bsR,ovis_canadensis,Ovis canadensis,18,96.9,18
bsR,ovis_canadensis,Ovis canadensis,19,75.5,19
bsR,ovis_canadensis,Ovis canadensis,20,71.5,20
bsR,ovis_canadensis,Ovis canadensis,21,16.3,21
bsR,ovis_canadensis,Ovis canadensis,22,51.9,22
bsR,ovis_canadensis,Ovis canadensis,23,71.9,23
bsR,ovis_canadensis,Ovis canadensis,24,44,24
bsR,ovis_canadensis,Ovis canadensis,25,83.3,25
bsR,ovis_canadensis,Ovis canadensis,26,51.3,26
bsR,ovis_canadensis,Ovis canadensis,X,99.2,X
ssS,ovis_aries,Ovis aries,1,312.2,1
ssS,ovis_aries,Ovis aries,2,281.736,2
ssS,ovis_aries,Ovis aries,3,262.484,3
ssS,ovis_aries,Ovis aries,4,148.877,4
ssS,ovis_aries,Ovis aries,5,139.738,5
ssS,ovis_aries,Ovis aries,6,141.183,6
ssS,ovis_aries,Ovis aries,7,134.691,7
ssS,ovis_aries,Ovis aries,8,112.929,8
ssS,ovis_aries,Ovis aries,9,115.373,9
ssS,ovis_aries,Ovis aries,10,106.752,10
ssS,ovis_aries,Ovis aries,11,100.823,11
ssS,ovis_aries,Ovis aries,12,112.057,12
ssS,ovis_aries,Ovis aries,13,113.009,13
ssS,ovis_aries,Ovis aries,14,98.447,14
ssS,ovis_aries,Ovis aries,15,102.363,15
ssS,ovis_aries,Ovis aries,16,90.306,16
ssS,ovis_aries,Ovis aries,17,98.286,17
ssS,ovis_aries,Ovis aries,18,98.465,18
ssS,ovis_aries,Ovis aries,19,87.643,19
ssS,ovis_aries,Ovis aries,20,75.485,20
ssS,ovis_aries,Ovis aries,21,72.025,21
ssS,ovis_aries,Ovis aries,22,73.6,22
ssS,ovis_aries,Ovis aries,23,86.844,23
ssS,ovis_aries,Ovis aries,24,71.946,24
ssS,ovis_aries,Ovis aries,25,69.641,25
ssS,ovis_aries,Ovis aries,26,65.241,26
ssS,ovis_aries,Ovis aries,X,168.811,X
rdR,cervus_elaphus,Cervus elaphus,1,88.7,1
rdR,cervus_elaphus,Cervus elaphus,2,55.4,2
rdR,cervus_elaphus,Cervus elaphus,3,63.8,3
rdR,cervus_elaphus,Cervus elaphus,4,81.3,4
rdR,cervus_elaphus,Cervus elaphus,5,126.8,5
rdR,cervus_elaphus,Cervus elaphus,6,59.6,6
rdR,cervus_elaphus,Cervus elaphus,7,64,7
rdR,cervus_elaphus,Cervus elaphus,8,62.1,8
rdR,cervus_elaphus,Cervus elaphus,9,109.4,9
rdR,cervus_elaphus,Cervus elaphus,10,55.3,10
rdR,cervus_elaphus,Cervus elaphus,11,101.3,11
rdR,cervus_elaphus,Cervus elaphus,12,104.2,12
rdR,cervus_elaphus,Cervus elaphus,13,76.3,13
rdR,cervus_elaphus,Cervus elaphus,14,85,14
rdR,cervus_elaphus,Cervus elaphus,15,96.4,15
rdR,cervus_elaphus,Cervus elaphus,16,54.8,16
rdR,cervus_elaphus,Cervus elaphus,17,67,17
rdR,cervus_elaphus,Cervus elaphus,18,108,18
rdR,cervus_elaphus,Cervus elaphus,19,99.3,19
rdR,cervus_elaphus,Cervus elaphus,20,112.9,20
