Species,NCBI_Chromosome,SeqID,Physical_Length_bp,L_coding_bp,Gene_Count,Coding_Density,Assembly_Level
cervus_elaphus,1,NC_057815.1,99365844,1631900,1451,0.016423148,Chromosome
cervus_elaphus,2,NC_057816.1,50834548,1056857,886,0.020790133,Chromosome
cervus_elaphus,3,NC_057817.1,55858895,878800,721,0.015732499,Chromosome
cervus_elaphus,4,NC_057818.1,68741660,2123936,1709,0.030897363,Chromosome
cervus_elaphus,5,NC_057819.1,134755514,3107304,2496,0.023058826,Chromosome
cervus_elaphus,6,NC_057820.1,51846305,615095,509,0.011863816,Chromosome
cervus_elaphus,7,NC_057821.1,52316097,1082353,1216,0.020688718,Chromosome
cervus_elaphus,8,NC_057822.1,55694185,949173,770,0.017042587,Chromosome
cervus_elaphus,9,NC_057823.1,109724705,2092051,1733,0.019066362,Chromosome
cervus_elaphus,10,NC_057824.1,55766398,1253841,971,0.022483808,Chromosome
cervus_elaphus,11,NC_057825.1,103264037,1648826,1338,0.015967088,Chromosome
cervus_elaphus,12,NC_057826.1,100048917,1652184,1479,0.016513762,Chromosome
cervus_elaphus,13,NC_057827.1,72175023,939736,928,0.013020238,Chromosome
cervus_elaphus,14,NC_057828.1,81685338,1233832,956,0.015104694,Chromosome
cervus_elaphus,15,NC_057829.1,94138249,1243226,1090,0.013206385,Chromosome
cervus_elaphus,16,NC_057830.1,47758366,599091,536,0.012544211,Chromosome
cervus_elaphus,17,NC_057831.1,65067212,457659,433,0.007033635,Chromosome
cervus_elaphus,18,NC_057832.1,125768775,1259119,1143,0.01001138,Chromosome
cervus_elaphus,19,NC_057833.1,115140355,1106928,972,0.009613728,Chromosome
cervus_elaphus,20,NC_057834.1,140935159,2056957,1979,0.014595059,Chromosome
cervus_elaphus,21,NC_057835.1,83473711,854482,705,0.01023654,Chromosome
cervus_elaphus,22,NC_057836.1,85849967,1171285,965,0.013643395,Chromosome
cervus_elaphus,23,NC_057837.1,82663824,1264265,1207,0.015294054,Chromosome
cervus_elaphus,24,NC_057838.1,71624245,1057942,837,0.014770725,Chromosome
cervus_elaphus,25,NC_057839.1,71803109,586854,476,0.0081731,Chromosome
cervus_elaphus,26,NC_057840.1,50001067,457614,388,0.009152085,Chromosome
cervus_elaphus,27,NC_057841.1,64514562,572287,486,0.008870664,Chromosome
cervus_elaphus,28,NC_057842.1,64362491,472876,423,0.007347074,Chromosome
cervus_elaphus,29,NC_057843.1,63760408,627774,551,0.009845828,Chromosome
cervus_elaphus,30,NC_057844.1,86197926,738073,622,0.008562538,Chromosome
cervus_elaphus,31,NC_057845.1,55169878,339093,356,0.006146343,Chromosome
cervus_elaphus,32,NC_057846.1,52234794,405158,399,0.007756477,Chromosome
cervus_elaphus,33,NC_057847.1,79323360,779640,521,0.009828631,Chromosome
cervus_elaphus,X,NC_057848.1,179953079,1577004,1653,0.008763418,Chromosome
chionomys_nivalis,1,NC_080086.1,205897943,2618110,1930,0.012715571,Chromosome
