Code,Species_code,Species,Linkage_Group,Total_cM,NCBI_Chromosome,SeqID,Physical_Length_bp,L_coding_bp,Gene_Count,Coding_Density,Assembly_Level,M_morgans,Physical_Length_Mb,recomb_rate
BHS,ovis_canadensis,Ovis canadensis,1,302.8,1,NC_091245.1,281153287,3286530,3730,0.01168946,Chromosome,3.028,281.153287,1.076992566
BHS,ovis_canadensis,Ovis canadensis,2,274.3,2,NC_091246.1,255615320,2834679,2536,0.011089629,Chromosome,2.743,255.61532,1.073096871
BHS,ovis_canadensis,Ovis canadensis,3,272.7,3,NC_091247.1,232287161,3495640,3291,0.015048787,Chromosome,2.727,232.287161,1.173977928
BHS,ovis_canadensis,Ovis canadensis,4,142.7,4,NC_091248.1,135672349,1210399,1201,0.008921486,Chromosome,1.427,135.672349,1.051798698
BHS,ovis_canadensis,Ovis canadensis,5,132.8,5,NC_091249.1,123219114,2002609,1819,0.016252422,Chromosome,1.328,123.219114,1.077754868
BHS,ovis_canadensis,Ovis canadensis,6,138.9,6,NC_091250.1,134193483,1011514,998,0.007537728,Chromosome,1.389,134.193483,1.03507262
BHS,ovis_canadensis,Ovis canadensis,7,125.3,7,NC_091251.1,113569052,1521820,1369,0.013399953,Chromosome,1.253,113.569052,1.103293528
BHS,ovis_canadensis,Ovis canadensis,8,127.9,8,NC_091252.1,103312485,848512,852,0.008213064,Chromosome,1.279,103.312485,1.23799171
BHS,ovis_canadensis,Ovis canadensis,9,115.5,9,NC_091253.1,105199356,817365,821,0.007769677,Chromosome,1.155,105.199356,1.097915466
BHS,ovis_canadensis,Ovis canadensis,10,64.2,10,NC_091254.1,100482889,674372,603,0.006711312,Chromosome,0.642,100.482889,0.638914751
BHS,ovis_canadensis,Ovis canadensis,11,108.2,11,NC_091255.1,71225399,1966662,1748,0.027611807,Chromosome,1.082,71.225399,1.519121009
BHS,ovis_canadensis,Ovis canadensis,12,102.9,12,NC_091256.1,91826741,1166071,1006,0.012698599,Chromosome,1.029,91.826741,1.120588609
BHS,ovis_canadensis,Ovis canadensis,13,120.6,13,NC_091257.1,98645217,1153355,1149,0.011691951,Chromosome,1.206,98.645217,1.222563077
BHS,ovis_canadensis,Ovis canadensis,14,82.5,14,NC_091258.1,80148007,2014480,1795,0.025134499,Chromosome,0.825,80.148007,1.029345621
BHS,ovis_canadensis,Ovis canadensis,15,112.8,15,NC_091259.1,91302204,1353782,1438,0.014827484,Chromosome,1.128,91.302204,1.23545758
BHS,ovis_canadensis,Ovis canadensis,16,67.6,16,NC_091260.1,85120388,554023,561,0.006508699,Chromosome,0.676,85.120388,0.794169312
BHS,ovis_canadensis,Ovis canadensis,17,97.3,17,NC_091261.1,83296283,1025604,899,0.012312722,Chromosome,0.973,83.296283,1.168119351
BHS,ovis_canadensis,Ovis canadensis,18,96.9,18,NC_091262.1,83831668,935513,955,0.011159422,Chromosome,0.969,83.831668,1.155887773
BHS,ovis_canadensis,Ovis canadensis,19,75.5,19,NC_091263.1,75183094,997687,797,0.013270098,Chromosome,0.755,75.183094,1.004215123
BHS,ovis_canadensis,Ovis canadensis,20,71.5,20,NC_091264.1,66766794,1006657,1249,0.01507721,Chromosome,0.715,66.766794,1.070891617
BHS,ovis_canadensis,Ovis canadensis,21,16.3,21,NC_091265.1,67427450,994157,983,0.014744099,Chromosome,0.163,67.42745,0.241741309
BHS,ovis_canadensis,Ovis canadensis,22,51.9,22,NC_091266.1,67206388,656573,586,0.009769503,Chromosome,0.519,67.206388,0.772248019
BHS,ovis_canadensis,Ovis canadensis,23,71.9,23,NC_091267.1,75639080,540446,511,0.007145063,Chromosome,0.719,75.63908,0.950566823
BHS,ovis_canadensis,Ovis canadensis,24,44,24,NC_091268.1,57398297,1210213,1091,0.021084476,Chromosome,0.44,57.398297,0.766573266
BHS,ovis_canadensis,Ovis canadensis,25,83.3,25,NC_091269.1,63407539,526664,680,0.008306015,Chromosome,0.833,63.407539,1.313723909
BHS,ovis_canadensis,Ovis canadensis,26,51.3,26,NC_091270.1,61156592,359194,410,0.005873349,Chromosome,0.513,61.156592,0.838830261
BHS,ovis_canadensis,Ovis canadensis,X,99.2,X,NC_091727.1,145045549,1383530,1659,0.00953859,Chromosome,0.992,145.045549,0.68392309
SSH,ovis_aries,Ovis aries,1,312.2,1,NC_056054.1,278617202,3397627,3167,0.012194606,Chromosome,3.122,278.617202,1.120533828
SSH,ovis_aries,Ovis aries,2,281.736,2,NC_056055.1,250202058,2899581,2295,0.011588957,Chromosome,2.81736,250.202058,1.126033903
