SNP.Name,Chromosome,cM.Position.Sex.Averaged,cM.Position.Female,cM.Position.Male,Genome.Position.Oarv3.1
s64199.1,1,0,0,0,52854
OAR19_64675012.1,1,0,0,0,81978
OAR19_64715327.1,1,0,0,0,120098
OAR19_64803054.1,1,0,0,0,204694
DU281551_498.1,1,0,0,0,315497
OAR1_88143.1,1,0.073,0,0.232,401196
s09912.1,1,0.073,0,0.232,489045
s36301.1,1,0.073,0,0.232,580814
s34880.1,1,0.204,0,0.725,643628
s64747.1,1,0.204,0,0.725,748143
s68493.1,1,0.244,0,0.725,785434
OAR1_420114.1,1,0.244,0,0.725,792698
OAR1_537224_X.1,1,0.244,0,0.725,912507
s48804.1,1,0.244,0,0.725,1155400
s40172.1,1,1.108,0.203,3.115,1245222
s26718.1,1,1.108,0.203,3.115,1390945
s31488.1,1,1.108,0.203,3.115,1406764
s46222.1,1,1.168,0.203,3.505,1513820
s38369.1,1,1.25,0.203,3.522,1618342
s43961.1,1,1.25,0.203,3.522,1738285
s22577.1,1,2.163,0.49,5.664,1815740
s48510.1,1,2.163,0.49,5.664,1883334
s51465.1,1,2.163,0.49,5.664,1904126
s64926.1,1,2.163,0.49,5.664,1949413
s44902.1,1,2.7,0.49,7.284,2038137
s39783.1,1,2.7,0.49,7.284,2147622
s49245.1,1,2.7,0.49,7.284,2166422
s74937.1,1,2.7,0.49,7.284,2194569
s09433.1,1,2.7,0.49,7.284,2203962
OAR1_1447599.1,1,2.7,0.49,7.284,2225681
OAR1_1492710.1,1,2.7,0.49,7.284,2268988
s41716.1,1,2.811,0.594,7.284,2317262
s43513.1,1,2.811,0.594,7.284,2354943
s55450.1,1,2.825,0.633,7.284,2407510
s46580.1,1,3.054,0.775,7.284,2484946
OAR1_1762874.1,1,3.118,0.775,7.879,2541019
s47644.1,1,3.177,0.883,7.879,2657803
s63837.1,1,3.177,0.883,7.879,2808944
s18439.1,1,3.351,0.883,8.34,2838035
s41913.1,1,3.351,0.883,8.34,2870378
s32107.1,1,3.477,0.883,8.65,2906205
s16836.1,1,3.477,0.883,8.65,2960877
s47703.1,1,3.477,0.883,8.65,3051176
s11984.1,1,3.477,0.883,8.65,3089274
DU441304_232.1,1,3.477,0.883,8.65,3124748
s72449.1,1,3.912,1.242,9.221,3253438
s32559.1,1,4.419,1.242,10.688,3314910
s04088.1,1,4.419,1.242,10.688,3336925
s10771.1,1,4.419,1.242,10.688,3398222
s56011.1,1,4.678,1.499,11.119,3460454
s30529.1,1,4.678,1.499,11.119,3512999
s22855.1,1,4.678,1.499,11.119,3520169
s40377.1,1,4.678,1.499,11.119,3585807
s25860.1,1,4.678,1.499,11.119,3599190
s11250.1,1,4.678,1.499,11.119,3656263
s47513.1,1,4.737,1.499,11.27,3666516
OAR1_2921089.1,1,4.737,1.499,11.27,3688215
