"Chromosome","Map_Length_cM","Physical_Size_bp","Physical_Size_Mb","Functional_Gene_Count"
1,312.2,275429510,275.42951,NA
2,281.736,248492216,248.492216,NA
3,262.484,224022697,224.022697,NA
4,148.877,119017512,119.017512,NA
5,139.738,106774264,106.774264,NA
6,141.183,116355793,116.355793,NA
7,134.691,99438726,99.438726,NA
8,112.929,90542667,90.542667,NA
9,115.373,94153644,94.153644,NA
10,106.752,84759361,84.759361,NA
11,100.823,61355165,61.355165,NA
12,112.057,78745419,78.745419,NA
13,113.009,82917494,82.917494,NA
14,98.447,62423731,62.423731,NA
15,102.363,80013625,80.013625,NA
16,90.306,71398993,71.398993,NA
17,98.286,72073240,72.07324,NA
18,98.465,67367776,67.367776,NA
19,87.643,60073564,60.073564,NA
20,75.485,50726850,50.72685,NA
21,72.025,49798131,49.798131,NA
22,73.6,50436590,50.43659,NA
23,86.844,61582895,61.582895,NA
24,71.946,41931219,41.931219,NA
25,69.641,45224778,45.224778,NA
26,65.241,43837765,43.837765,NA
